title,soup
toy story (1995),children animation adventure comedy pixar (1995) story toy fun fantasy
jumanji (1995),children game williams magic adventure (1995) robin fantasy board jumanji
grumpier old men (1995),men old comedy romance (1995) moldy grumpier
father of the bride part ii (1995),bride ii of remake part pregnancy comedy (1995) father the
sabrina (1995),remake comedy romance (1995) sabrina
"american president, the (1995)","politics president, drama president comedy romance (1995) american the"
nixon (1995),nixon politics drama president (1995)
casino (1995),drama mafia (1995) crime casino
sense and sensibility (1995),drama and romance jane (1995) austen sensibility sense
get shorty (1995),shorty comedy thriller (1995) get crime hollywood
copycat (1995),copycat killer drama mystery thriller (1995) crime horror serial
leaving las vegas (1995),leaving drama las romance (1995) alcoholism vegas
othello (1995),drama shakespeare (1995) othello
persuasion (1995),netflix queue drama in romance jane (1995) austen persuasion
"city of lost children, the (cité des enfants perdus, la) (1995)","sci-fi of children, perdus, enfants drama adventure lost des la) mystery (1995) kidnapping city fantasy (cité the"
dangerous minds (1995),teacher school drama high (1995) minds dangerous
twelve monkeys (a.k.a. 12 monkeys) (1995),monkeys pitt (1995) willis brad sci-fi monkeys) travel 12 thriller twelve mindfuck post-apocalyptic apocalyptic bruce time ending remake post mystery twist (a.k.a.
babe (1995),needed children babe not animal movie drama pigs villain (1995) nonexistent good story or for
dead man walking (1995),death drama man (1995) dead crime walking penalty nun
it takes two (1995),it children two takes twins comedy (1995)
clueless (1995),flick once rudd paul chick seen emma comedy romance more (1995) jane austen than clueless funny quotable
"cry, the beloved country (1995)","netflix country queue drama in (1995) cry, south beloved africa the"
richard iii (1995),shakespeare richard iii drama war (1995)
restoration (1995),drama (1995) england restoration
to die for (1995),to drama comedy thriller (1995) journalism die for
how to make an american quilt (1995),to drama make wedding how romance (1995) american an quilt
seven (a.k.a. se7en) (1995),ending se7en) killer twist mystery seven (1995) thriller (a.k.a. serial
"usual suspects, the (1995)","ending usual suspects, tricky suspense heist mindfuck twist mystery thriller (1995) crime the"
mighty aphrodite (1995),mighty drama aphrodite comedy romance (1995) adoption prostitution
"postman, the (postino, il) (1994)","postman, drama comedy romance (postino, (1994) il) writing the"
mr. holland's opus (1995),drama mr. holland's music (1995) opus
mary reilly (1996),reilly mary drama and (1996) thriller horror jekyll hyde
in the bleak midwinter (1995),drama in comedy (1995) bleak midwinter theater the
bottle rocket (1996),bottle adventure (1996) comedy romance crime off-beat rocket quirky
happy gilmore (1996),tag (1996) gilmore comedy adam happy test sandler golf
muppet treasure island (1996),children muppet adventure (1996) island comedy treasure muppets musical
braveheart (1995),drama mel historical (best (1995) revenge war sword cinematography) fight epic medieval oscar gibson action beautiful scotland braveheart scenery inspirational
taxi driver (1976),assassination driver taxi drama thriller crime (1976)
anne frank remembered (1995),frank anne documentary (1995) holocaust remembered
boomerang (1992),(1992) romance comedy boomerang dating
up close and personal (1996),up close and drama (1996) romance personal journalism
"basketball diaries, the (1995)","dicaprio basketball drama heroin diaries, wahlberg (1995) leonardo mark addiction the"
apollo 13 (1995),nasa drama adventure (1995) moon imax 13 apollo space
batman forever (1995),superhero action adventure comedy forever (1995) batman crime
congo (1995),sci-fi crichton action adventure mystery (1995) michael congo
crimson tide (1995),submarine drama tide war thriller (1995) crimson
crumb (1994),netflix queue in crumb documentary (1994)
kids (1995),new kids (full drama nudity (1995) york frontal) city controversial
"net, the (1995)","net, computers action thriller (1995) crime the"
"umbrellas of cherbourg, the (parapluies de cherbourg, les) (1964)","de cry les) cherbourg, umbrellas of drama romance me made (parapluies (1964) musical the"
before sunrise (1995),drama generation romance (1995) sunrise before x
billy madison (1995),at looking school madison comedy me adam (1995) swan billy sandler stop
circle of friends (1995),friends of drama circle romance (1995) ireland
clerks (1994),clerks generation comedy film witty cynical (1994) independent quirky hilarious x
don juan demarco (1995),mental demarco drama illness comedy romance juan (1995) don psychology
dolores claiborne (1995),dolores drama king claiborne thriller (1995) stephen
eat drink man woman (yin shi nan nu) (1994),netflix shi nu) queue drama nan woman man in comedy romance (yin (1994) eat drink
ed wood (1994),ed movie drama wood comedy (1994) business
forget paris (1995),basketball infertility forget france comedy paris romance (1995)
hoop dreams (1994),hoop basketball dreams documentary (1994)
heavenly creatures (1994),drama creatures crime australia (1994) heavenly
houseguest (1994),bad comedy (1994) sinbad houseguest
immortal beloved (1994),immortal drama romance (1994) beethoven beloved
i.q. (1994),comedy romance einstein (1994) i.q.
just cause (1995),just mystery thriller (1995) cause court
star wars: episode iv - a new hope (1977),skywalker nerd darth iv engrossing and (1977) androids goodie great opera a sci-fi star new adventure but robots vader oldie soundtrack episode space hope epic - action luke wars classic wars:
little women (1994),louisa little drama women alcott (1994) may
"little princess, a (1995)","children little princess, drama england girl india (1995) power a"
"madness of king george, the (1994)","mental of drama king george, england illness comedy madness (1994) the"
mary shelley's frankenstein (frankenstein) (1994),shelley's sci-fi mary drama frankenstein horror (1994) gothic (frankenstein)
miracle on 34th street (1994),street drama christmas on (1994) 34th miracle
my family (1995),netflix queue drama in (1995) family my
murder in the first (1995),drama in thriller (1995) prison murder first the
nell (1994),disability drama twins nell (1994)
natural born killers (1994),born dark stylized action psychedelic satire natural comedy thriller crime (1994) killers controversial brutality
once were warriors (1994),warriors netflix once queue were drama in crime (1994)
léon: the professional (a.k.a. the professional) (léon) (1994),250 sniper portman drama french tense disturbing hitman gary (1994) hit (léon) great lolita men theme thriller professional crime assassins the professional) acting reno corruption luc romance imdb story top assassin humorous assassination loneliness oldman natalie unique police jean action friendship awkward besson (a.k.a. touching léon: organized love quirky guns
pulp fiction (1994),250 gritty harvey r:sustained movie organised humour references different development offensive entirely (1994) fast-paced narrative non-linear amazing gangster cool gore casual sophisticated brutality suspense very dialogue drug innovative imdb strong soundtrack assassin cult dance funny order highly roger motherfucker 1990s thought-provoking packed awesome parody retro ensemble genius r:disturbing storylines fast conversation atmospheric iconic biblical satire comedy quentin willis sexy culture great mobster dark keitel philosophical intense stories humor storyline ass big splatters language anthology characters noir acting pop coke smart gangsters witty stylish scene sexuality r:graphic character unpredictable splatter bruce golden ending out random royal pulp entertaining palme exciting fun multiple ironic writing classic john quirky killer-as-protagonist cast buscemi actors r:violence drama heroin dancing original name watch hitman hit film-noir violence overdose content boys bloody paced rape timeline psychological r:some intelligent notable avary good top plot thurman tarantino bad unique drugs diner travolta d'or twist achronological milkshake bad-ass guns interwoven dialogues intertwining images jackson & angeles violent disturbing nonlinear steve interesting unusual intellectual meaningless men bible cheese l. irony storytelling film thriller crime foul quotable disjointed uma style of blood stylized mafia neo-noir r:strong samuel music with masterpiece scrubbing aggressive episodic los fiction homosexuality action sarcasm monologue black organized including mobsters
quiz show (1994),tv show drama (1994) quiz
three colors: blue (trois couleurs: bleu) (1993),blue death (1993) drama three couleurs: bleu) colors: (trois
three colors: white (trzy kolory: bialy) (1994),white kolory: bialy) drama (trzy three comedy marriage colors: cynical (1994)
stargate (1994),time sci-fi travel action stargate adventure (1994)
"santa clause, the (1994)","drama santa clause, comedy christmas (1994) fantasy the"
"shawshank redemption, the (1994)","shawshank freeman morgan drama king wrongful crime prison (1994) redemption, stephen imprisonment the"
to live (huozhe) (1994),netflix to live queue drama in (huozhe) (1994)
