title,0
toy story (1995),0
jumanji (1995),1
grumpier old men (1995),2
father of the bride part ii (1995),3
sabrina (1995),4
"american president, the (1995)",5
nixon (1995),6
casino (1995),7
sense and sensibility (1995),8
get shorty (1995),9
copycat (1995),10
leaving las vegas (1995),11
othello (1995),12
persuasion (1995),13
"city of lost children, the (cité des enfants perdus, la) (1995)",14
dangerous minds (1995),15
twelve monkeys (a.k.a. 12 monkeys) (1995),16
babe (1995),17
dead man walking (1995),18
it takes two (1995),19
clueless (1995),20
"cry, the beloved country (1995)",21
richard iii (1995),22
restoration (1995),23
to die for (1995),24
how to make an american quilt (1995),25
seven (a.k.a. se7en) (1995),26
"usual suspects, the (1995)",27
mighty aphrodite (1995),28
"postman, the (postino, il) (1994)",29
mr. holland's opus (1995),30
mary reilly (1996),31
in the bleak midwinter (1995),32
bottle rocket (1996),33
happy gilmore (1996),34
muppet treasure island (1996),35
braveheart (1995),36
taxi driver (1976),37
anne frank remembered (1995),38
boomerang (1992),39
up close and personal (1996),40
"basketball diaries, the (1995)",41
apollo 13 (1995),42
batman forever (1995),43
congo (1995),44
crimson tide (1995),45
crumb (1994),46
kids (1995),47
"net, the (1995)",48
"umbrellas of cherbourg, the (parapluies de cherbourg, les) (1964)",49
before sunrise (1995),50
billy madison (1995),51
circle of friends (1995),52
clerks (1994),53
don juan demarco (1995),54
dolores claiborne (1995),55
eat drink man woman (yin shi nan nu) (1994),56
ed wood (1994),57
forget paris (1995),58
hoop dreams (1994),59
heavenly creatures (1994),60
houseguest (1994),61
immortal beloved (1994),62
i.q. (1994),63
just cause (1995),64
star wars: episode iv - a new hope (1977),65
little women (1994),66
"little princess, a (1995)",67
"madness of king george, the (1994)",68
mary shelley's frankenstein (frankenstein) (1994),69
miracle on 34th street (1994),70
my family (1995),71
murder in the first (1995),72
nell (1994),73
natural born killers (1994),74
once were warriors (1994),75
léon: the professional (a.k.a. the professional) (léon) (1994),76
pulp fiction (1994),77
quiz show (1994),78
three colors: blue (trois couleurs: bleu) (1993),79
three colors: white (trzy kolory: bialy) (1994),80
stargate (1994),81
"santa clause, the (1994)",82
"shawshank redemption, the (1994)",83
to live (huozhe) (1994),84
star trek: generations (1994),85
what's eating gilbert grape (1993),86
virtuosity (1995),87
while you were sleeping (1995),88
muriel's wedding (1994),89
"adventures of priscilla, queen of the desert, the (1994)",90
clear and present danger (1994),91
"client, the (1994)",92
"corrina, corrina (1994)",93
forrest gump (1994),94
four weddings and a funeral (1994),95
it could happen to you (1994),96
"wonderful, horrible life of leni riefenstahl, the (macht der bilder: leni riefenstahl, die) (1993)",97
"lion king, the (1994)",98
"paper, the (1994)",99
speed (1994),100
true lies (1994),101
when a man loves a woman (1994),102
addams family values (1993),103
"age of innocence, the (1993)",104
airheads (1994),105
black beauty (1994),106
blue sky (1994),107
carlito's way (1993),108
dave (1993),109
"firm, the (1993)",110
"fugitive, the (1993)",111
